city,state,num_golf_courses,avg_rating,sum_ratings_count,avg_length_yards,state_golfable,score,rank
Darlington,Wisconsin,1,5.0,1,2706.0,0,0.43749999999999994,358
Owings Mills,Maryland,1,5.0,1,6942.0,0,0.43749999999999994,359
Owensville,Missouri,1,5.0,1,2076.0,0,0.43749999999999994,360
Glen Rock,Pennsylvania,1,5.0,1,6691.0,0,0.43749999999999994,361
Glen Ridge,New Jersey,1,5.0,1,6029.0,0,0.43749999999999994,362
Glasgow,Montana,1,5.0,1,3233.0,0,0.43749999999999994,363
Warren,Pennsylvania,1,5.0,1,6413.0,0,0.43749999999999994,364
Warren,Arkansas,1,5.0,1,0.0,0,0.43749999999999994,365
Lacygne,Kansas,1,5.0,1,6146.0,0,0.43749999999999994,366
Mellen,Wisconsin,1,5.0,1,3202.0,0,0.43749999999999994,367
Bedford Hills,New York,1,5.0,1,6919.0,0,0.43749999999999994,368
Walsenburg,Colorado,1,5.0,1,3110.0,0,0.43749999999999994,369
Mercer,Wisconsin,1,5.0,1,2606.0,0,0.43749999999999994,370
Merced,California,1,5.0,1,6519.0,0,0.43749999999999994,371
Chatham,Virginia,1,5.0,1,2984.0,0,0.43749999999999994,372
Chase City,Virginia,1,5.0,1,3253.0,0,0.43749999999999994,373
Charlottesville,Virginia,1,5.0,1,,0,0.43749999999999994,374
New London,Iowa,1,5.0,1,3000.0,0,0.43749999999999994,375
